,amount,asset,date,signer,sender
0,5.5,BTC,2021-12-19,2WhyVac1EeGkmK2tu6iF7ChWR4me8z94AMtXvPWVWNVH,2WhyVac1EeGkmK2tu6iF7ChWR4me8z94AMtXvPWVWNVH
1,0.010677,BTC,2021-12-19,3HHqQJgQFfhgt3DcUNhNdxorG6NM3CsuWpP59o9Yr6Rf,3HHqQJgQFfhgt3DcUNhNdxorG6NM3CsuWpP59o9Yr6Rf
2,0.002326,BTC,2021-12-19,4YBr9cyePhQJtZMMMWGUMsqe6RDYcTjeYAX1e2K1rkYp,4YBr9cyePhQJtZMMMWGUMsqe6RDYcTjeYAX1e2K1rkYp
3,0.030665,BTC,2021-12-19,5UXUuphPd39xLF4qgdocgRXjmYZdsk2Gx3MV34fab5hV,5UXUuphPd39xLF4qgdocgRXjmYZdsk2Gx3MV34fab5hV
4,0.005,BTC,2021-12-19,6U2f1LRELU6uxVPJkiy7aSff82Pat7En9P92rsnPzCtG,6U2f1LRELU6uxVPJkiy7aSff82Pat7En9P92rsnPzCtG
5,0.0426,BTC,2021-12-19,7C8f8dxxqQEZyKpHMWaQtfGckrkLgUYmfEH9tjcwB8HT,7C8f8dxxqQEZyKpHMWaQtfGckrkLgUYmfEH9tjcwB8HT
6,0.04,BTC,2021-12-19,9DWREMQtcKKcZRzqBi4kWKp61TW9MhASCVE9biCX7tvD,9DWREMQtcKKcZRzqBi4kWKp61TW9MhASCVE9biCX7tvD
7,0.08,BTC,2021-12-19,F38Bjzyu3kUmAWFKeuarg4V1juGaHEFsuHbVHxtkRdbZ,F38Bjzyu3kUmAWFKeuarg4V1juGaHEFsuHbVHxtkRdbZ
8,0.012253,BTC,2021-12-19,FRAQs8rq9bHuSge9UmsGGHpJ79PSwB9wfzBFbw2Yv6yk,FRAQs8rq9bHuSge9UmsGGHpJ79PSwB9wfzBFbw2Yv6yk
9,0.006989,BTC,2021-12-20,287TuzSrFGtrQbFPuXkwuQwX2nmwSpHxAMdmtKwfbzBv,287TuzSrFGtrQbFPuXkwuQwX2nmwSpHxAMdmtKwfbzBv
10,0.001857,BTC,2021-12-20,2jcRMHYs4X8htuwCHYsaKW8scJFFwuStzWbjsphnEkKf,2jcRMHYs4X8htuwCHYsaKW8scJFFwuStzWbjsphnEkKf
11,0.6349,BTC,2021-12-20,34V6WrcKzzhRSeQm57Fr1Ko7auhorwyXFkxaCBoAxawa,34V6WrcKzzhRSeQm57Fr1Ko7auhorwyXFkxaCBoAxawa
12,7.6e-05,BTC,2021-12-20,4d3eH5EaZU7BrrJsuXDfziG966m1c4TiGhQBCZ7bJDv9,4d3eH5EaZU7BrrJsuXDfziG966m1c4TiGhQBCZ7bJDv9
13,0.001847,BTC,2021-12-20,544q1b8uz4cirQnpUkZEJJQqvqpCKRmyfq9KAbQY2JP9,544q1b8uz4cirQnpUkZEJJQqvqpCKRmyfq9KAbQY2JP9
14,0.000338,BTC,2021-12-20,5DsPtGhw9mAxRgbvURM2bQ19ppA3wMeBZTedEZuusjuB,5DsPtGhw9mAxRgbvURM2bQ19ppA3wMeBZTedEZuusjuB
15,0.025,BTC,2021-12-20,6wGzqSWYjB1nukhDwLdgXDzMNSeasuRur3FVZAkVF4pM,6wGzqSWYjB1nukhDwLdgXDzMNSeasuRur3FVZAkVF4pM
16,0.005,BTC,2021-12-20,7Sb2rfir31fWQsrcc632C1xQWB3jJ6WZUsK29KHLeBTg,7Sb2rfir31fWQsrcc632C1xQWB3jJ6WZUsK29KHLeBTg
17,0.000677,BTC,2021-12-20,7ozEZ85JShXE8nTYsbarXQEzSLcVUxbVBt5SYJtH5niK,7ozEZ85JShXE8nTYsbarXQEzSLcVUxbVBt5SYJtH5niK
18,0.110952,BTC,2021-12-20,866t8aEvcdUrW1rZPyrABTiTW6cCe9gq5AADaqPufR9k,866t8aEvcdUrW1rZPyrABTiTW6cCe9gq5AADaqPufR9k
19,0.002112,BTC,2021-12-20,8KSiTFR9LS2j5VvgUhxTfY7Mg1w9j5jspFzaNVthBrhW,8KSiTFR9LS2j5VvgUhxTfY7Mg1w9j5jspFzaNVthBrhW
20,0.002236,BTC,2021-12-20,8NRrJkrYDgMdG9zeU7YJv9FzRBHC4mBiErjhj1zyYKD5,8NRrJkrYDgMdG9zeU7YJv9FzRBHC4mBiErjhj1zyYKD5
21,4.3e-05,BTC,2021-12-20,8VEXtkQsJJN3kVjo7JMyf3Re38K3BoaYwFopxv6LSDRX,8VEXtkQsJJN3kVjo7JMyf3Re38K3BoaYwFopxv6LSDRX
22,0.012,BTC,2021-12-20,9DWREMQtcKKcZRzqBi4kWKp61TW9MhASCVE9biCX7tvD,9DWREMQtcKKcZRzqBi4kWKp61TW9MhASCVE9biCX7tvD
23,0.004282,BTC,2021-12-20,A5pv9toVMjrz47QDtWWm9ib7DfZdczXAL3SoLXBkbgU7,A5pv9toVMjrz47QDtWWm9ib7DfZdczXAL3SoLXBkbgU7
24,3.01,BTC,2021-12-20,BNR9v15ey3uWaeZsNYGX5rDvRus9S8UL16hSgduEArFN,BNR9v15ey3uWaeZsNYGX5rDvRus9S8UL16hSgduEArFN
25,0.295256,BTC,2021-12-20,BRSh2ESDF26ncufZHXC2KbgPkskNAgDJEqiwFvt36rrt,BRSh2ESDF26ncufZHXC2KbgPkskNAgDJEqiwFvt36rrt
26,0.000215,BTC,2021-12-20,C7QRvvNsrF78SHAEjDXMTm6RUSmD7r15LRC4Pziz6g5,C7QRvvNsrF78SHAEjDXMTm6RUSmD7r15LRC4Pziz6g5
27,0.04,BTC,2021-12-20,Ds5ou5AvYPHipuhBhWxdoUmdfWC334wZvreRzEj6PPLH,Ds5ou5AvYPHipuhBhWxdoUmdfWC334wZvreRzEj6PPLH
28,0.007535,BTC,2021-12-20,EU3JbNTkhbH3CEPRjuDvbeJNrtaSp6MADiKTgP1AK8kv,EU3JbNTkhbH3CEPRjuDvbeJNrtaSp6MADiKTgP1AK8kv
29,0.227334,BTC,2021-12-20,EYwsJcCL99dLokoWwU1vAe3hLF5UE3bpcjju6Q48kocE,EYwsJcCL99dLokoWwU1vAe3hLF5UE3bpcjju6Q48kocE
