,asset,amount,count,usd,tx_size
5,RAY,253.57580554368934,380,2.52,639.0110299700972
6,SBR,48113.84283730242,1085,0.03151694,1516.4010978726901
10,scnSOL,47.132154886848234,678,90.59,4269.701911199581
4,MNGO,33116.62495352819,403,0.150336,4978.620929013614
7,SOL,58.34289086321474,6280,87.95,5131.257251419736
9,mSOL,138.9939473358042,2115,91.06,12656.78884439833
3,LUNA,168.2942901461318,1758,88.67,14922.654707257507
2,FTT,362.9933090488827,918,42.83,15547.003426563644
8,SRM,8488.223850623162,711,1.88,15957.860839171544
1,ETH,6.329828795620438,607,2762.12,17483.746712959124
0,BTC,1.1600654310595064,994,41028.0,47595.16450550943
