,asset,date,count
0,BTC,2021-12-19,9
1,BTC,2021-12-20,34
2,BTC,2021-12-21,69
3,BTC,2021-12-22,92
4,BTC,2021-12-23,110
5,BTC,2021-12-24,130
6,BTC,2021-12-25,143
7,BTC,2021-12-26,151
8,BTC,2021-12-27,184
9,BTC,2021-12-28,205
10,BTC,2021-12-29,241
11,BTC,2021-12-30,278
12,BTC,2021-12-31,338
13,BTC,2022-01-01,355
14,BTC,2022-01-02,374
15,BTC,2022-01-03,395
16,BTC,2022-01-04,410
17,BTC,2022-01-05,424
18,BTC,2022-01-06,443
19,BTC,2022-01-07,464
20,BTC,2022-01-08,470
21,BTC,2022-01-09,480
22,BTC,2022-01-10,495
23,BTC,2022-01-11,508
24,BTC,2022-01-12,521
25,BTC,2022-01-13,543
26,BTC,2022-01-14,581
27,BTC,2022-01-15,601
28,BTC,2022-01-16,607
29,BTC,2022-01-17,619
30,BTC,2022-01-18,626
31,BTC,2022-01-19,637
32,BTC,2022-01-20,649
33,BTC,2022-01-21,666
34,BTC,2022-01-22,674
35,BTC,2022-01-23,679
36,BTC,2022-01-24,686
37,BTC,2022-01-25,693
38,BTC,2022-01-26,701
39,BTC,2022-01-27,710
40,BTC,2022-01-28,735
41,BTC,2022-01-29,740
42,BTC,2022-01-30,749
43,BTC,2022-01-31,753
44,BTC,2022-02-01,764
45,BTC,2022-02-02,768
46,BTC,2022-02-03,777
47,BTC,2022-02-04,790
48,BTC,2022-02-05,793
49,BTC,2022-02-06,796
50,BTC,2022-02-07,798
51,BTC,2022-02-08,804
52,BTC,2022-02-09,810
53,BTC,2022-02-10,820
54,BTC,2022-02-11,826
55,BTC,2022-02-12,830
56,BTC,2022-02-13,834
57,BTC,2022-02-14,839
58,BTC,2022-02-15,847
59,BTC,2022-02-16,855
60,BTC,2022-02-17,863
61,BTC,2022-02-18,873
62,BTC,2022-02-19,877
63,BTC,2022-02-20,881
64,BTC,2022-02-21,883
65,BTC,2022-02-22,887
66,BTC,2022-02-23,889
67,BTC,2022-02-24,896
68,BTC,2022-02-25,902
69,BTC,2022-02-26,905
70,BTC,2022-02-27,907
71,BTC,2022-02-28,909
72,BTC,2022-03-01,911
73,BTC,2022-03-02,917
74,BTC,2022-03-03,925
75,BTC,2022-03-04,936
76,BTC,2022-03-05,938
77,BTC,2022-03-06,946
78,BTC,2022-03-07,952
79,BTC,2022-03-08,955
80,BTC,2022-03-09,959
81,BTC,2022-03-10,962
82,BTC,2022-03-11,966
83,BTC,2022-03-12,969
84,BTC,2022-03-13,976
85,BTC,2022-03-14,981
86,BTC,2022-03-15,988
87,BTC,2022-03-16,994
88,ETH,2021-12-21,1
89,ETH,2021-12-23,2
90,ETH,2021-12-24,14
91,ETH,2021-12-25,20
92,ETH,2021-12-26,34
93,ETH,2021-12-27,57
94,ETH,2021-12-28,73
95,ETH,2021-12-29,89
96,ETH,2021-12-30,106
97,ETH,2021-12-31,123
98,ETH,2022-01-01,144
99,ETH,2022-01-02,155
100,ETH,2022-01-03,181
101,ETH,2022-01-04,195
102,ETH,2022-01-05,204
103,ETH,2022-01-06,220
104,ETH,2022-01-07,229
105,ETH,2022-01-08,234
106,ETH,2022-01-09,242
107,ETH,2022-01-10,249
108,ETH,2022-01-11,259
109,ETH,2022-01-12,268
110,ETH,2022-01-13,284
111,ETH,2022-01-14,318
112,ETH,2022-01-15,338
113,ETH,2022-01-16,346
114,ETH,2022-01-17,357
115,ETH,2022-01-18,366
116,ETH,2022-01-19,375
117,ETH,2022-01-20,389
118,ETH,2022-01-21,400
119,ETH,2022-01-22,406
120,ETH,2022-01-23,411
121,ETH,2022-01-24,415
122,ETH,2022-01-25,417
123,ETH,2022-01-26,421
124,ETH,2022-01-27,425
