,amount,symbol,cash,date,signer,receiver,asset
0,382.137669,USDC,USDC,2021-12-28T15:35:05Z,24CoH2cYsEPv3EpigCUjsqs26n1XeDrtHug4kwX7UZGD,24CoH2cYsEPv3EpigCUjsqs26n1XeDrtHug4kwX7UZGD,BTC
1,4995.000538,USDC,USDC,2021-12-28T20:41:26Z,3V1HmecLr55cdDLEXzhN8tfz7qCq7UdD2KwjB4VT4duQ,3V1HmecLr55cdDLEXzhN8tfz7qCq7UdD2KwjB4VT4duQ,BTC
2,9.99,USDC,USDC,2021-12-28T21:02:39Z,H6ghikbJ1FGSP9uBKdK9VHT8A33smYkjJoDeuPknebtY,H6ghikbJ1FGSP9uBKdK9VHT8A33smYkjJoDeuPknebtY,MNGO
3,99.9,USDC,USDC,2021-12-28T21:05:00Z,H6ghikbJ1FGSP9uBKdK9VHT8A33smYkjJoDeuPknebtY,H6ghikbJ1FGSP9uBKdK9VHT8A33smYkjJoDeuPknebtY,MNGO
4,1180.396782,USDC,USDC,2021-12-28T21:06:13Z,H6ghikbJ1FGSP9uBKdK9VHT8A33smYkjJoDeuPknebtY,H6ghikbJ1FGSP9uBKdK9VHT8A33smYkjJoDeuPknebtY,MNGO
5,24975.0,USDC,USDC,2021-12-28T22:41:26Z,7C8f8dxxqQEZyKpHMWaQtfGckrkLgUYmfEH9tjcwB8HT,7C8f8dxxqQEZyKpHMWaQtfGckrkLgUYmfEH9tjcwB8HT,MNGO
6,24975.0,USDC,USDC,2021-12-28T22:41:39Z,7C8f8dxxqQEZyKpHMWaQtfGckrkLgUYmfEH9tjcwB8HT,7C8f8dxxqQEZyKpHMWaQtfGckrkLgUYmfEH9tjcwB8HT,SOL
7,9990.0,USDC,USDC,2021-12-28T22:43:25Z,2cS6syQXkWr3ZQKiMiBaixR6mqUSjwMB5YR9AEw4Xax1,2cS6syQXkWr3ZQKiMiBaixR6mqUSjwMB5YR9AEw4Xax1,MNGO
8,25093.556075,USDC,USDC,2021-12-28T22:45:24Z,7C8f8dxxqQEZyKpHMWaQtfGckrkLgUYmfEH9tjcwB8HT,7C8f8dxxqQEZyKpHMWaQtfGckrkLgUYmfEH9tjcwB8HT,MNGO
9,15077.907,USDC,USDC,2021-12-28T22:46:16Z,7C8f8dxxqQEZyKpHMWaQtfGckrkLgUYmfEH9tjcwB8HT,7C8f8dxxqQEZyKpHMWaQtfGckrkLgUYmfEH9tjcwB8HT,SOL
10,199.8,USDC,USDC,2021-12-29T02:41:35Z,4aXJ5mh6yJTx1zF3veUaTYDfa3AxUGT7P5gbJBshLhuE,4aXJ5mh6yJTx1zF3veUaTYDfa3AxUGT7P5gbJBshLhuE,SOL
11,199.8,USDC,USDC,2021-12-29T02:41:46Z,4aXJ5mh6yJTx1zF3veUaTYDfa3AxUGT7P5gbJBshLhuE,4aXJ5mh6yJTx1zF3veUaTYDfa3AxUGT7P5gbJBshLhuE,BTC
12,203.56623,USDC,USDC,2021-12-29T02:41:57Z,4aXJ5mh6yJTx1zF3veUaTYDfa3AxUGT7P5gbJBshLhuE,4aXJ5mh6yJTx1zF3veUaTYDfa3AxUGT7P5gbJBshLhuE,MNGO
13,59959.264795,USDC,USDC,2021-12-29T07:53:27Z,FuKWJE7MeCH7HaYmcma2Y6TCMA42iUVhymCpgRvtNF5,FuKWJE7MeCH7HaYmcma2Y6TCMA42iUVhymCpgRvtNF5,SOL
14,999.094499,USDC,USDC,2021-12-29T08:04:10Z,3zWbXYFAMXrR1rUumDro4ELQQZhoMAd5DumwiGbQc1ms,3zWbXYFAMXrR1rUumDro4ELQQZhoMAd5DumwiGbQc1ms,SOL
15,54.517233,USDC,USDC,2021-12-29T14:19:09Z,4tM4zJCR2pQa9VtfeZEgLBzqHG17BBJPdZE8PDE2JjFS,4tM4zJCR2pQa9VtfeZEgLBzqHG17BBJPdZE8PDE2JjFS,BTC
16,799.2,USDC,USDC,2021-12-29T14:55:22Z,7AuwcWsx9mMgAFKvvBvnp1KbijLCuS2bjx5NxGTrhGnj,7AuwcWsx9mMgAFKvvBvnp1KbijLCuS2bjx5NxGTrhGnj,SOL
17,9990.0,USDC,USDC,2021-12-29T16:32:32Z,33D2DhYrk5stKVDtFV6Jfu2LGqPcTMEP8J7XrsRAfcxk,33D2DhYrk5stKVDtFV6Jfu2LGqPcTMEP8J7XrsRAfcxk,MNGO
