,date,epoch,amount,asset,amt_usd
0,2021-12-28,Epoch 1 - 2021-12-28,6854.191069,BTC,6854.191069
1,2021-12-28,Epoch 1 - 2021-12-28,90630.39339,MNGO,90630.39339
2,2021-12-28,Epoch 1 - 2021-12-28,109174.768769,SOL,109174.768769
3,2022-01-04,Epoch 2 - 2022-01-04,73834.965234,BTC,73834.965234
4,2022-01-04,Epoch 2 - 2022-01-04,4558.32892,MNGO,4558.32892
5,2022-01-04,Epoch 2 - 2022-01-04,117554.912422,SOL,117554.912422
6,2022-01-11,Epoch 3 - 2022-01-11,1212297.8765989998,BTC,1212297.8765989998
7,2022-01-11,Epoch 3 - 2022-01-11,74382.865615,MNGO,74382.865615
8,2022-01-11,Epoch 3 - 2022-01-11,2748312.04405,SOL,2748312.04405
9,2022-01-18,Epoch 4 - 2022-01-18,51989.190072,BTC,51989.190072
10,2022-01-18,Epoch 4 - 2022-01-18,463.434937,LUNA,463.434937
11,2022-01-18,Epoch 4 - 2022-01-18,162291.00356100002,MNGO,162291.00356100002
12,2022-01-18,Epoch 4 - 2022-01-18,741606.849909,SOL,741606.849909
13,2022-01-25,Epoch 5 - 2022-01-25,47006.56834,BTC,47006.56834
14,2022-01-25,Epoch 5 - 2022-01-25,97531.614227,LUNA,97531.614227
15,2022-01-25,Epoch 5 - 2022-01-25,100797.357026,MNGO,100797.357026
16,2022-01-25,Epoch 5 - 2022-01-25,5108826.482537,SOL,5108826.482537
17,2022-02-01,Epoch 6 - 2022-02-01,2724.908548,BTC,2724.908548
18,2022-02-01,Epoch 6 - 2022-02-01,116362.976576,ETH,116362.976576
19,2022-02-01,Epoch 6 - 2022-02-01,82689.746699,LUNA,82689.746699
20,2022-02-01,Epoch 6 - 2022-02-01,105215.709961,MNGO,105215.709961
21,2022-02-01,Epoch 6 - 2022-02-01,1903605.8173139999,SOL,1903605.8173139999
22,2022-02-01,Epoch 6 - 2022-02-01,12211.226771,SOL (tsUSDC),12211.226771
23,2022-02-08,Epoch 7 - 2022-02-08,65831.761357,BTC,65831.761357
24,2022-02-08,Epoch 7 - 2022-02-08,112235.458296,ETH,112235.458296
25,2022-02-08,Epoch 7 - 2022-02-08,118442.611345,LUNA,118442.611345
26,2022-02-08,Epoch 7 - 2022-02-08,150676.456454,MNGO,150676.456454
27,2022-02-08,Epoch 7 - 2022-02-08,1159130.682272,SOL,1159130.682272
28,2022-02-08,Epoch 7 - 2022-02-08,9825.189439,SOL (tsUSDC),9825.189439
29,2022-02-15,Epoch 8 - 2022-02-15,30383.673125999998,BTC,30383.673125999998
30,2022-02-15,Epoch 8 - 2022-02-15,3267.535994,ETH,3267.535994
31,2022-02-15,Epoch 8 - 2022-02-15,36235.750975,LUNA,36235.750975
32,2022-02-15,Epoch 8 - 2022-02-15,28636.515153,MNGO,28636.515153
33,2022-02-15,Epoch 8 - 2022-02-15,804500.35249,SOL,804500.35249
34,2022-02-15,Epoch 8 - 2022-02-15,155898.563251,SOL (tsUSDC),155898.563251
35,2022-02-22,Epoch 9 - 2022-02-22,20180.754164,BTC,20180.754164
36,2022-02-22,Epoch 9 - 2022-02-22,16290.584616,ETH,16290.584616
37,2022-02-22,Epoch 9 - 2022-02-22,71461.045124,LUNA,71461.045124
38,2022-02-22,Epoch 9 - 2022-02-22,195.0,MNGO,195.0
39,2022-02-22,Epoch 9 - 2022-02-22,491234.23738700006,SOL,491234.23738700006
40,2022-02-22,Epoch 9 - 2022-02-22,203549.148074,SOL (tsUSDC),203549.148074
41,2022-03-01,Epoch 10 - 2022-03-01,30024.891480000002,BTC,30024.891480000002
42,2022-03-01,Epoch 10 - 2022-03-01,108.110324,ETH,108.110324
43,2022-03-01,Epoch 10 - 2022-03-01,39012.14544,LUNA,39012.14544
44,2022-03-01,Epoch 10 - 2022-03-01,4793.4333129999995,MNGO,4793.4333129999995
45,2022-03-01,Epoch 10 - 2022-03-01,1533850.807136,SOL,1533850.807136
46,2022-03-01,Epoch 10 - 2022-03-01,15034.138292,SOL (tsUSDC),15034.138292
47,2022-03-08,Epoch 11 - 2022-03-08,17611.581102,BTC,17611.581102
48,2022-03-08,Epoch 11 - 2022-03-08,1215.680174,ETH,1215.680174
49,2022-03-08,Epoch 11 - 2022-03-08,100589.108292,LUNA,100589.108292
50,2022-03-08,Epoch 11 - 2022-03-08,110.932418,MNGO,110.932418
51,2022-03-08,Epoch 11 - 2022-03-08,97740.24043399999,SOL,97740.24043399999
52,2022-03-08,Epoch 11 - 2022-03-08,12014.449271,SOL (tsUSDC),12014.449271
53,2022-03-15,Epoch 12 - 2022-03-15,255.00609,LUNA,255.00609
54,2022-03-15,Epoch 12 - 2022-03-15,95036.09092599999,SOL,95036.09092599999
